"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         198,      -8.096021337,      -4.972357799,      -5.099035735,      -2.633643998
          0,           0,         199,      -8.094907059,      -4.971621051,      -5.098000658,      -2.632602434
          0,           0,         200,      -8.093788066,      -4.970885784,      -5.096966801,      -2.631554772
          0,           0,         201,      -8.092686312,       -4.97015344,      -5.095932028,      -2.630524868
          0,           0,         202,      -8.091576577,      -4.969423355,      -5.094899945,      -2.629486497
          0,           0,         203,      -8.090457875,      -4.968696523,      -5.093867514,      -2.628438887
          0,           0,         204,      -8.089350526,      -4.967973469,       -5.09283638,      -2.627402927
          0,           0,         205,      -8.088234745,      -4.967253602,      -5.091804466,      -2.626357063
          0,           0,         206,      -8.086957665,      -4.966527342,      -5.090759554,      -2.625139195
          0,           0,         207,         -8.085798,      -4.965804383,      -5.089720271,      -2.624043726
          0,           0,         208,      -8.084776898,      -4.965092644,      -5.088685109,      -2.623098417
          0,           0,         209,      -8.083684145,      -4.964380383,       -5.08764003,       -2.62207741
